,0
androgen antagonist,3
moss,3
mosquitocide,3
mitogen,3
oakmoss,3
Tooth Decay,3
pork,3
Teratogen,3
platelet aggregation factor inhibitor,3
Insomnia,3
Irritability,3
Kwashiorkor,3
phytotoxin,3
Major depressive disorder,3
photosensitizing agent,3
pheromone,3
Neuropathy,3
peroxidase inhibitor,3
Pellagra,3
Peripheral neuropathy,3
Peroxisomal biogenesis defect,3
paper,3
Pulmonary irritation,3
Refsum's disease,3
ozone,3
oxytocic,3
Reye's syndrome,3
Sepsis,3
orange peel,3
anti thyrotoxic,3
mentholic,3
cardiac,3
cedarleaf,3
catty,3
cookedmeat,3
bell,3
chamomile,3
ascaricide,3
benzaldehyde,3
coumarinic,3
apple peel,3
cooked meat,3
applepeel,3
citrus peel,3
anti ulcerogenic,3
culicide,3
cedarwood,3
cardiotonic drug,3
anti vertigo,3
arteriodilator,3
contraceptive,3
cream,3
clover,3
beta-glucuronidase inhibitor,3
cholesterolytic,3
bean,3
artemicide,3
clam,2
saffron,2
rue,2
(-)-chronotropic,2
cardboard,2
clary,2
anti dermatic,2
sage,2
anti dysenteric,2
sandal,2
anti cytotoxic,2
seaweed,2
anti diuretic,2
sassafrass,2
lactagogue,2
sausage,2
lachrymatory,2
clastogenic,2
rubefacient,2
anti claudificant,2
chrysanthemum,2
anti anoxic,2
anti anxiety,2
lubricant,2
anti appetant,2
rhubarb,2
anti arachidonate,2
anti arteriosclerotic,2
logenberry,2
anti asthmatic drug,2
anti atherogenic agent,2
roast beef,2
anti bacillary,2
borneol,2
cicatrizant,2
lipase inhibitor,2
linalool,2
roastednut,2
Essential hypertension,2
anti carpal-tunnel,2
anti cataleptic,2
cinnamic,2
leucocytogenic,2
anti chilblain,2
circulotonic,2
EC 5.99.1.3 [DNA topoisomerase (ATP-hydrolysing)] inhibitor,2
EC 4.3.1.3 (histidine ammonia-lyase) inhibitor,2
second generation antipsychotic,2
EC 3.2.1.1 (alpha-amylase) inhibitor,2
anti dyspeptic,2
cologne,2
anti hepatitic,2
histaminic,2
aphrodisiac,2
squalene-monooxygenase inhibitor,2
anti homocystinuric,2
anti hyperglycemic,2
herbistat,2
EC 1.1.1.34/EC 1.1.1.88 (hydroxymethylglutaryl-CoA reductase) inhibitor,2
anti hyperkinetic,2
hepatotropic,2
anti hyperlipidemic,2
hepatocarcinogenic,2
collagenase inhibitor,2
anti ielus,2
Dry skin,2
Dementia,2
cantaloupe,2
anti legionella,2
synthetic auxin,2
hapten,2
ham,2
hallucinogen,2
D-2-hydroxyglutaric aciduria,2
greenhouse gas,2
anti hemorrhoidal,2
anti hangover,2
insulin-sparing,2
slightly waxy,2
insect repellent,2
respiradepressant,2
anti encephalopathic,2
anti endotoxic,2
anti enzymatic,2
anti erythemic,2
anti fibrinolytic,2
arrack,2
anti fibrotic,2
hypolipemic,2
anti gastritic,2
anti giardial,2
honeydew,2
sodium channel blocker,2
coenzyme,2
cofactor,2
anti glucuronidase,2
anti gonadotrophic,2
sortase-A inhibitor,2
apoptosis inducer,2
capillariprotective,2
capillarigenic,2
anti halitosic,2
spermicide,2
Febrile seizures,2
GABA agonist,2
respira inhibitor,2
phototoxic,2
orange flower,2
orange blossom,2
Myocardial infarction,2
Traumatic brain injury,2
Multiple system atrophy,2
Vitamin b12 deficiency,2
Methylenetetrahydrofolate reductase deficiency,2
cereal,2
acantholytic,2
Mastocytosis,2
black currant,2
acetophenone,2
black tea,2
alkylating agent,2
phytogenic insecticide,2
nitric-oxide-genic,2
nitric-oxide scavenger,2
cerebrotoxic,2
nicotinic agonist,2
new mown hay,2
neurotropic,2
pine needle,2
JNK inhibitor,2
addictive,2
cat,2
nephrotoxin,2
Olivopontocerebral atrophy,2
perfume,2
Osteoporosis,2
Smith-lemli-opitz syndrome,2
parasympatholytic,2
parsley,2
passion fruit,2
paramecicide,2
Primary biliary cirrhosis,2
Prosthesis/Missing teeth,2
papaya,2
patchouli,2
Pregnancy,2
painty,2
RNA component,2
RNA-genic,2
Respiratory arrest,2
biomarker,2
pea,2
Penicillium metabolite,2
peanut butter,2
overripe fruit,2
peanutbutter,2
Rhinitis,2
Paraquat poisoning,2
pemphigenic,2
Septic shock,2
peony,2
Short chain acyl-coa dehydrogenase deficiency,2
nephroprotective agent,2
allspice,2
resinous,2
anti Meniere's,2
Homocystinuria,2
Hereditary spastic paraplegia,2
anthelminthic drug,2
carrot,2
anti -histamine,2
anti 5-hydroxytryptamine,2
provitamin,2
provitamin A,2
prune,2
pulifuge,2
pulmonotoxic,2
anti Crohn's,2
mesquite,2
Ileostomy,2
Growth hormone deficiency,2
menthol,2
memranolytic,2
pyridine,2
melon rind,2
Gastritis,2
bois de rose,2
matrix-metalloproteinase-9 inhibitor,2
broth,2
Friedreich's ataxia,2
cholinergic,2
cholinergic agonist,2
mite growth regulator,2
mitogen-activated protein kinase inhibitor,2
anorectic,2
Hydrocephalus,2
nasturtium,2
nasal decongestant,2
alpha-amylase inhibitor,2
ambrette,2
barley,2
barbituate-synergist,2
amebicide,2
IKK inhibitor,2
amine,2
banana peel,2
cassia,2
amphiphile,2
musculotropic,2
Hypobetalipoproteinemia,2
privet,2
muguet,2
mu-opioid receptor antagonist,2
androgen,2
avifuge,2
proliferant,2
mossy,2
Hyperglycemia,2
mosquitofuge,2
monoamine-oxidase-A inhibitor,2
Hyper beta-alaninemia,2
green bean,2
anti emphysemic,2
Prepartum depression,2
Cerebral edema,2
fried,2
anti neuroblastomic,2
tonic,2
calcium channel agonist,2
verbena,2
topoisomerase inhibitor,2
Angina,2
anti nitrosating,2
anti rheumatitic,2
food acidity regulator,2
foliage,2
anti sclerodermic,2
dust,2
anti uremic,2
anti onychyotic,2
anti ophidic,2
cool,2
fumigant,2
fumigant insecticide,2
fungal,2
gastrointestinal drug,2
thyme,2
vitamin-A activity,2
anti myalgic,2
anti tubercular agent,2
cGMP-phosphodiesterase inhibitor,2
thyrotropic,2
tissue thromboplastin inhibitor,2
anti sinusitic,2
anti myocarditic,2
vinous,2
Cholestasis,2
vinegar,2
anti ulcer drug,2
anti shigellic,2
anti rhinitic,2
anti osteoarthritic,2
voltage-gated sodium channel blocker,2
epitope,2
anti peristaltic,2
anti proteolytic,2
anti photophobic,2
anti pneumonic,2
enzyme inhibitor,2
epinephrininergic,2
excitatory amino acid antagonist,2
uremic toxin,2
anti rheumatalgic,2
B vitamin,2
anti prostat adenomic,2
erythrocytolytic,2
anti vaccinia,2
anti prolactin,2
estrogen agonist,2
estrogen receptor agonist,2
tuberose,2
febrifuge,2
fecal,2
Astringent,2
flatugenic,2
cananga,2
camphoreous,2
anti radiation,2
trichuricide,2
fir,2
triglycerolytic,2
tropica,2
anti psoriatic,2
Arthritis,2
anti pellagric,2
fetotoxic,2
truffle,2
anti viral drug,2
trypanocide,2
volatile oil component,2
very faint,2
anti stomatitic,2
wasabi,2
delicate,2
tart,2
Congested lungs,2
ginger,2
Congestive heart failure,2
anti manic drug,2
grain,2
anti lupus,2
tangerine,2
anti manic,2
watery,2
anti yeast,2
11beta-hydroxysteroid-dehydrogenase inhibitor,2
Convulsion,2
anti melanogenic,2
water-soluble vitamin,2
anti mite,2
anti topoisomerase-II,2
Abetalipoproteinemia,2
wet,2
yeast,2
grass,2
candidistat,2
xenoestrogen,2
thiamin,2
2-hydroxyglutaric aciduria,2
xenobiotic metabolite,2
dark,2
glutathionalytic,2
anti tachycardic,2
cytoprotective,2
defoliant,2
wine-lee,1
Phototoxin,1
Photophobia,1
Aspergillus metabolite,1
3-methyl-crotonyl-glycinuria,1
Pheochromocytoma,1
valeric,1
Hyperlysinemia,1
uteroactive,1
21-hydroxylase deficiency,1
prolactinogenic,1
Hyperoxalemia,1
petroleum,1
bilirubinolytic,1
caspase-9 inhibitor,1
Anuria,1
Hypothermia,1
Hypophosphatemia,1
Apathy,1
Hypocalcemia,1
calcium ionophore,1
prebiotic,1
wet cloth,1
progestin,1
burnt sugar,1
wetcloth,1
probiotic,1
Hyperdibasic aminoaciduria i,1
progesteronigenic,1
vanillin,1
3-methylglutaconic aciduria,1
probiotigenic,1
17beta-hydroxysteroid-dehydrogenase inhibitor,1
Hyperargininemia,1
pruritogenic,1
boiled beef,1
cashew,1
protic solvent,1
pastry,1
11-beta-hydroxylase deficiency,1
cGMP inhibitor,1
urate-solvent,1
unripe plum,1
Hartnup disease,1
Athyreosis,1
Hair loss,1
carotogenesis inhibitor,1
psychotomimetic,1
boiled meat,1
pulmonoprotective,1
pumpkin,1
HIV protease inhibitor,1
HDL-genic,1
Hepatotoxin,1
urinary antiseptic,1
propionic,1
prostaglandin sparer,1
Porphyria,1
caspase-3 inhibitor,1
Porphyria cutanea tarda,1
Atherogen,1
Hyperactivity,1
utero relaxant,1
Anthelmintic,1
prostaglandin secretor,1
prostaglandin-E2 inhibitor,1
Homozygous sickle cell disease,1
caspase-3 inducer,1
Hydrogen sulfide poisoning,1
prostatitigenic,1
urine deodorant,1
Hsp90 inhibitor,1
urine acidifier,1
12-lipoxygenase inhibitor,1
protective agent,1
I-kappa-B-alpha-phosphorylation inhibitor,1
vasoprotective,1
IKB-kinase inhibitor,1
Aldehyde dehydrogenase deficiency,1
vinyl,1
bitteralmond,1
phytoestrogen,1
peroxynitrite scavenger,1
peroxisome proliferator activated receptor gamma antagonist,1
bitter almond,1
peristaltic,1
MRI contrast agent,1
vibriocide,1
phytohormone,1
blackberry,1
buttered,1
Lesch-nyhan syndrome,1
vesicant,1
LDL lytic,1
watercress,1
peptone,1
very sweet,1
catecholaminogenic,1
photosystem-II inhibitor,1
Aids,1
very slight,1
viristat,1
NADH-ubiquinone-oxidoreductase inhibitor,1
Acute myelogenous leukemia,1
Narcotic,1
Nephrotic syndrome,1
Multi-infarct dementia,1
pheromonal,1
cayloxol,1
Acidosis,1
Mucopolysaccharidosis iva,1
Motor neuron disease,1
Mitochondrial toxin,1
Methylmalonic acidemia,1
photoactive,1
photocarcinogenic,1
Neuroblastoma,1
vitamin K antagonist,1
Methanol poisoning,1
Menkes disease,1
cauliflower,1
Kidney transplantation,1
Kidney cancer,1
vasomotor stimulant,1
peely,1
plum skin,1
pear skin,1
poison,1
ATP synthase inhibitor,1
weak spice,1
burntsugar,1
Idiopathic oro-facial pain,1
polar solvent,1
polyamine synthesis inhibitor,1
weakspice,1
8-hydroxyeicosatetraenoic-acid inhibitor,1
Idiopathic intracranial hypertension,1
NADPH-oxidase inhibitor,1
calcium channel modulator,1
cassis,1
biscuit,1
peach-pit,1
5-hydroxyeicosatetraenoic-acid inhibitor,1
Anoxia,1
PPAR modulator,1
ATPase inhibitor,1
cake,1
vegetable skin,1
pistachio,1
pituitary sensitizer,1
Osteotoxin,1
plant,1
unripe fruit,1
plant growth regulator,1
plant growth retardant,1
cataractagenic,1
Intraventricular hemorrhage,1
Amphetamine psychosis,1
Infantile refsum's disease,1
Oxidizing agent,1
Impaired glucose tolerance,1
bloody,1
Immunotoxin,1
venotonic,1
venom,1
pleasant,1
ATPase stimulant,1
H2-receptor antagonist,1
taenicide,1
calcium-sparing,1
EC 1.3.99.29 [phytoene desaturase (zeta-carotene-forming)] inhibitor,1
skunky,1
slightly rose,1
thyrostimulant,1
EC 1.8.1.12 (trypanothione-disulfide reductase) inhibitor,1
bronchospasmolytic,1
thyroid-peroxidase inhibitor,1
bronchostimulant,1
EC 1.6.3.1. [NAD(P)H oxidase (H2O2-forming)] inhibitor,1
thymoprotective,1
EC 1.4.3.4 (monoamine oxidase) inhibitor,1
thymol,1
thuja,1
EC 1.9.3.1 (cytochrome c oxidase) inhibitor,1
sodium channel modulator,1
EC 1.3.3.4 (protoporphyrinogen oxidase) inhibitor,1
soil,1
EC 1.2.3.1 (aldehyde oxidase) inhibitor,1
soporific,1
Cobalamin malabsorption,1
Colitis,1
thiamine,1
soupy,1
soy,1
Congenital adrenal hyperplasia,1
skunk,1
EC 2.3.1.21 (carnitine O-palmitoyltransferase) inhibitor,1
unpleasant,1
EC 3.1.3.41 (4-nitrophenylphosphatase) inhibitor,1
sensual,1
EC 3.4.19.3 (pyroglutamyl-peptidase I) inhibitor,1
toluene,1
tolu,1
EC 3.2.1.18 (exo-alpha-sialidase) inhibitor,1
toffee,1
"EC 3.2.1.114 (mannosyl-oligosaccharide 1,3-1,6-alpha-mannosidase) inhibitor",1
Premenstrual dysphoric disorder,1
tocolytic agent,1
serotonergic drug,1
EC 3.1.4.12 (sphingomyelin phosphodiesterase) inhibitor,1
bronchosedative,1
sick,1
EC 3.1.1.4 (phospholipase A2) inhibitor,1
EC 2.7.7.7 (DNA-directed DNA polymerase) inhibitor,1
EC 2.7.7.6 (RNA polymerase) inhibitor,1
brothy,1
EC 2.7.7.49 (RNA-directed DNA polymerase) inhibitor,1
EC 2.5.1.1 (dimethylallyltranstransferase) inhibitor,1
Cns infection,1
shellfish,1
EC 2.3.3.1 [citrate (Si)-synthase] inhibitor,1
Cns tumor,1
shrimp,1
spasmolytic,1
EC 1.13.11.34 (arachidonate 5-lipoxygenase) inhibitor,1
spermigenic,1
DOPA-decarboxylase inhibitor,1
sulfide,1
sulfite ester acaricide,1
Dystonia,1
cantaloupe rind,1
Dihydropyrimidine dehydrogenase deficiency,1
suppurative,1
Dermal fibroproliferative disorder,1
tartlime,1
Dehydration,1
Degenerative disc disease,1
sweet corn,1
tart lime,1
EC 1.13.11.27 (4-hydroxyphenylpyruvate dioxygenase) inhibitor,1
broom,1
DNA-active,1
DNA synthesis inhibitor,1
synergist,1
synthetic oral contraceptive,1
tarragon,1
syrup,1
tangy,1
Cytotoxin,1
Cystathioninuria,1
Crigler-najjar syndrome type i,1
EC 1.1.1.1 (alcohol dehydrogenase) inhibitor,1
sudorific,1
sucrase promoter,1
succinoxidase inhibitor,1
EC 1.11.1.6 (catalase) inhibitor,1
tetrazine acaricide,1
testosterone inducer,1
testosterogenic,1
spinoconvulsant,1
spiroketalamine fungicide,1
capillarifortificant,1
terpineol,1
terpentine,1
terpenic,1
stem,1
Continuous ambulatory peritoneal dialysis,1
sternutatory,1
teratologic,1
EC 1.1.1.25 (shikimate dehydrogenase) inhibitor,1
Coronary artery disease,1
capers,1
Coronary heart disease,1
straw,1
EC 1.1.1.205 (IMP dehydrogenase) inhibitor,1
Cresol poisoning ibs,1
EC 1.1.1.189 (prostaglandin-E2 9-reductase) inhibitor,1
styrax,1
EC 3.4.24.* (metalloendopeptidase) inhibitor,1
EC 3.4.24.18 (meprin A) inhibitor,1
secretomotor,1
tubulin modulator,1
Bipolar disorder,1
turnup,1
respiraparalytic,1
cardiotoxic agent,1
respirostimulant,1
respirotoxic,1
Folate deficiency,1
retinoprotectant,1
Bitter,1
Bloating,1
Blood disorders,1
Fanconi syndrome,1
bufocide,1
Fainting,1
Brain tumor,1
ricotta,1
Facial edema,1
trypsin enhancer,1
FPTase inhibitor,1
trypanosomastat,1
FEMA,1
trypanocidal drug,1
roastbeef,1
cardiosedative,1
Biliary atresia,1
Crohn's disease,1
reseda,1
renoirritant,1
undergrowth,1
uncoupling agent,1
boiled shrimp,1
burnt almonds,1
quince,1
Gout,1
quinone-reductase inhibitor,1
boiled vegetable,1
Glutaric aciduria type 1,1
Glucose intolerance,1
Gestational diabetes,1
Autism,1
Gallbladder disease,1
raisin,1
raising agent,1
boiledvegetable,1
GABAnergic agent,1
red hots,1
Bacterial meningitis,1
reducing agent,1
GABA agent,1
G-protein-coupled receptor agonist,1
Beta-thalassemia,1
cardioprotective agent,1
roasted peanuts,1
bronchoconstrictor agent,1
sawdust,1
bruchifuge,1
ryanodine receptor modulator,1
rye,1
bridged diphenyl acaricide,1
salt,1
Cardiovascular drug,1
EC 3.6.3.44 (xenobiotic-transporting ATPase) inhibitor,1
sappy,1
sarsaparilla,1
Cerebral vasospasm,1
EC 3.6.3.10 (H(+)/K(+)-exchanging ATPase) inhibitor,1
EC 3.6.3.1 (phospholipid-translocating ATPase) inhibitor,1
bouillon,1
scallion,1
EC 3.5.2.6 (beta-lactamase) inhibitor,1
Cerebrotendinous xanthomatosis,1
EC 3.5.1.98 (histone deacetylase) inhibitor,1
schizophrenigenic,1
seafood,1
tomatoleaf,1
tomato leaf,1
Chaetomium metabolite,1
broccoli,1
EC 3.4.24.83 (anthrax lethal factor endopeptidase) inhibitor,1
EC 4.2.1.3 (aconitate hydratase) inhibitor,1
bruchiphobe,1
Cardiopulmonary resuscitation,1
Cardiomyopathy,1
Bronchodilator,1
roborant,1
CETP inhibitor,1
cardioparalytic,1
romano,1
Eosinopenia,1
bread crust,1
trichomonistat,1
roquefort cheese,1
cardioactive,1
ERK2 inhibitor,1
ERK1 inhibitor,1
rose acetate,1
rose dried,1
rose flower,1
rose oxide,1
rose water,1
triazine insecticide,1
tremorogenic,1
rotting,1
trematodicide,1
Cardiac arrhythmia,1
EC 4.3.1.10 (serine-sulfate ammonia-lyase) inhibitor,1
Beta-ureidopropionase deficiency,1
cut privet,1
parmesan,1
glutathionergic,1
glycine receptor antagonist,1
anti mastitic,1
anti mastalgic,1
gout suppressant,1
anti mange,1
anti xerophthalmic,1
controlled,1
anti lipogenic,1
contraceptive drug,1
anti lipedemic,1
gravy,1
anti leukotrienogenic,1
anti leukotriene-D4,1
grilled,1
anti leukotriene-B4,1
concord grape,1
hairy,1
anti leukoplakic,1
conazole fungicide,1
anti leprotic,1
anti lepric,1
anti klebsiellic,1
aphicide,1
anti keshan,1
anti keratotic,1
anti keratitic,1
anti iritic,1
compatible osmolytes,1
anti insulinogenic,1
anti meningitic,1
glutathione-sparing,1
comedolytic,1
glutamate transporter activator,1
anti neurasthenic,1
fuel,1
cookies,1
anti nephrolytic,1
cookedvegetable,1
fungal xenobiotic metabolite,1
anti narcotic,1
anti myoatrophic,1
anti myelotoxic,1
cookedpotato,1
anti myasthenic,1
anti multidrug resistance,1
anti morphinic,1
anti morning sickness,1
anti monosodium-glutamate-sensitivity,1
gastroirritant,1
anti mitral-valve-prolapse,1
anti mitogenic,1
anti mitochondrial,1
general anaesthetic,1
genet,1
anti microbial food preservative,1
cooked vegetable,1
glaucomagenic,1
anti metaplastic,1
cooked potato,1
cooked beef juice,1
glucogonogenic,1
glucosyl-transferase inhibitor,1
anti insomnic,1
comedogenic,1
parasympathicomimetic,1
appetite depressant,1
humus,1
anti goiter,1
anti glutamaergic,1
hydrogen-peroxide inhibitor,1
hyperemic,1
anti gliomic,1
anti glaucomic,1
coccidiostat,1
hyperpyrexic,1
apple.rose,1
hyperthermic,1
hyperthyroid,1
anti gastrotic,1
hypoarginanemic,1
hypocalcemic,1
anti fumitory,1
anti foaming agent,1
anti filarial,1
hypothalmic depressant,1
hypouricemic,1
anti fibromyalgic,1
anti feedant,1
anti episiotomic,1
anti enuretic,1
incense,1
indole,1
anti enterotic,1
anti enterococcic,1
anti endometriotic,1
hummus,1
anti granular,1
heather,1
hotmilk,1
anti infarctal,1
heliotropin,1
hematopoietic,1
heme-sparing,1
hemoglobin inducer,1
anti ichythyotic,1
anti hypoxic,1
anti hypotensive,1
anti hypogonadic,1
anti hypoglycemic,1
hepatomegalic,1
anti hyperventilation,1
anti hyperparathyroidic,1
anti hyperleptinemic,1
anti hyperkeratotic,1
anti hyperinsulinemic,1
anti hyperactivity,1
anti histoplasmotic,1
histidine-kinase inhibitor,1
anti hepatomic,1
anti hepatoadenomic,1
anti hemophilic,1
anti helicobacter,1
anti heartburn,1
apifuge,1
hop_oil,1
anti grey,1
anti granulocytopenic,1
hot milk,1
fresh air,1
fragrant,1
anti neurotic,1
anti spermatogenic,1
dermal,1
crushedbug,1
desmutagenic,1
anti sindhis,1
anti silicotic,1
anti sialogogue,1
crushed bug,1
diagnostic agent,1
anti serotoninic,1
diffusive,1
cross-linking reagent,1
dinitrophenol insecticide,1
cresol,1
disinfectant,1
diterpene,1
anti serotonin,1
anti serotonic,1
anti urease,1
dopamine-adenylate-cyclase inhibitor,1
anti scotomic,1
anti scoliotic,1
dried fruit,1
crab,1
ectoparasiticide,1
anti urethrotic,1
anti retinotic,1
anti uricosuric,1
anti retinitic,1
electron acceptor,1
anti spasmophilic,1
anti spina-bifida,1
foxy,1
dentifrice,1
cyclamen,1
cyclin-B1 inhibitor,1
cyclin-D1 inhibitor,1
curare,1
anti thyreotropic,1
cuminseed,1
anti thrombophlebitic,1
anti thrombic,1
anti thiamin,1
anti tetanic,1
cytochrome-CYP1A1 inhibitor,1
anti testicular,1
cytochrome-P450-1A inducer,1
cytochrome-P450-2B inducer,1
cytochrome-P450-2E1 inhibitor,1
cytochrome-p488 inducer,1
anti trichinosic,1
cultured dairy,1
anti substance-P,1
damascone,1
dank,1
cucumber skin,1
decalcifier,1
decarboxylase inhibitor,1
dehydrogenase inhibitor,1
cucumber seed,1
anti staph,1
delta-opioid receptor antagonist,1
delta9-desaturase inhibitor,1
anti respirotic,1
anti reproductive,1
anti purpuric,1
anti pulmonotic,1
anti periodontitic,1
fatty acid synthesis inhibitor,1
feline attractant,1
fenchyl,1
corticosterogenic,1
fern,1
anti vitiligic,1
anti wart,1
anti panniculopathic,1
anti ozenic,1
filbert,1
fine,1
coriander,1
anti oxaluric,1
anti oxalate,1
anti ototic,1
flame retardant,1
flat,1
copper chelator,1
anti osteotic,1
flavouring agent,1
fleshy,1
anti wrinkle,1
anti ophthalmic,1
anti nyctalopic,1
food humectant,1
food packaging gas,1
anti nicotinic,1
fossil fuel,1
anti peroxidative,1
anti perspirant,1
anti pertussic,1
anti promoter,1
emollient,1
endorphinogenic,1
anti pseudomonic,1
anti urinary-tract-infection,1
enterocontractant,1
enteromotility enhancer,1
anti uveitic,1
enterotoxic,1
environmental food contaminant,1
anti proteinigenic,1
anti prostate-specific-antigen,1
ergosterol biosynthesis inhibitor,1
anti prostaglandin-E2,1
estrogen receptor beta binder,1
anti phenylketonuric,1
anti proctalgic,1
anti porphyric,1
ethanolytic,1
anti polyp,1
anti poliomyelitic,1
ethyl benzoate,1
anti vaginitic,1
eugeroic,1
anti varicose,1
costus,1
extremely sweet,1
anti platelet aggregation factor,1
anti pityriasic,1
anti endoccytotic,1
insect attractant,1
anti elleptic,1
amnesigenic,1
mycoplasmicide,1
bark,1
basil,1
myrcene,1
myrrh,1
naphthalic,1
bay oil,1
almondshell,1
almond shell,1
nemativoistat,1
neoplastic,1
alcohol dehydrogenase inhibitor,1
agonist,1
aedifuge,1
beef gravey,1
adenylate-cyclase inhibitor,1
anti torticollic,1
neurogenic,1
neuromuscular agent,1
neuromyostimulant,1
neuroparalytic,1
adaptogenic,1
activator-protein-1 inhibitor,1
actin polymerisation inhibitor,1
beef juice,1
neurotransmitter agent,1
neutral-endopeptidase inhibitor,1
nicotinic,1
nicotinic antagonist,1
amide fungicide,1
amphetaminagenic,1
chitinolytic,1
amphiestrogenic,1
aniseed,1
animal growth promotant,1
molasses,1
mold,1
moldy,1
anhydrotic,1
monoamine precursor,1
angiotensin receptor blocker,1
angiotensin receptor antagonist,1
monoamine-oxidase-B inhibitor,1
monoaminergic,1
moscato,1
auxin,1
chicken coop,1
angelica,1
motor stimulant,1
mouse metabolite,1
mousy,1
cherry-pit,1
azalea,1
mucokinetic,1
mucolytic,1
ancylostomicide,1
analeptic,1
anaesthetic,1
bactericide,1
bacteriophagicide,1
bacteriostatic,1
amphiprotic solvent,1
nitric oxide donor,1
acorn,1
nitrile,1
acnegenic,1
Supradiaphragmatic malignancy,1
Sudden death,1
Stroke,1
Spinal stenosis,1
Spinal disc herniation,1
Skin burns,1
Short bowel syndrome,1
benzyl acetate,1
Schistosomiasis,1
Salla disease,1
Saccharopinuria,1
osteoblastogenic,1
outdoor,1
Rhabdomyolysis,1
oxidase inhibitor,1
oxidative phosphorylation inhibitor,1
benzyl propionate,1
Reverse transcriptase inhibitor,1
Respiratory irritation,1
Renal toxin,1
beta inhibitor,1
Refractory localization-related epilepsy,1
RNA inhibitor,1
paint,1
Proteinuria,1
palmarosa,1
pancreatoxic,1
bifidogenic,1
Preterm birth,1
Supragingival Calculus,1
benzophenone,1
TNF inhibitor,1
oak,1
cerebrotonic,1
acetylcholinergic,1
acetyl-CoA-carboxylase inhibitor,1
acetone,1
acetoin,1
nootropic agent,1
cerebrodepressant,1
acarifuge,1
Xanthinuria,1
Vitiligo,1
central nervous system sedative,1
VAM stimulant,1
VAM simulant,1
central nervous system paralytic,1
Tachypnea,1
UV-screen,1
central nervous system inhibitor,1
odontolytic,1
Tyrosinemia i,1
beer,1
old paper,1
Transcobalamin ii deficiency,1
beet,1
ophthalmic antialkali,1
Tinnitus,1
opioid receptor agonist,1
cellulose synthesis inhibitor,1
orangepeel,1
ankylostomacide,1
chitosanolytic,1
anti ecchymotic,1
anti colic,1
lactone,1
citronella,1
lard,1
citric,1
circulatory stimulant,1
laundry,1
anti cholesterogenic,1
anti cholesteremic drug,1
anti choleretic,1
anti cholecystosic,1
leaves,1
leek,1
lemon peel,1
lemon rind,1
anti cheilotic,1
asprin,1
cinnamate,1
anti caries,1
anti cardiospasmic,1
anti calculic,1
anti bronchoconstrictor,1
anti bradykinic,1
linden,1
lipase inducer,1
anti bradycardic,1
anti bradyarrhythmic,1
anti bradiquinic,1
anti beriberi,1
anti backache,1
anti coccidioid,1
citronellol,1
ant repellent,1
kiwi,1
insulinic,1
clean cloth,1
anti dysphagic,1
intensely,1
interferon-synergist,1
interferonogenic,1
interleukin-6 inhibitor,1
intoxicant,1
aryl-hydrocarbon-hydroxylase inhibitor,1
ion transport inhibitor,1
ionone,1
ionophore,1
anti dote to paracetamol poisoning,1
iris,1
anti discotic,1
anti dipsomanic,1
anti diarrhoeal drug,1
anti dermatophytic,1
anti deliriant,1
civet,1
anti cystitic,1
anti constrictive,1
kappa-opioid receptor agonist,1
keratitigenic,1
arylamine-N-acetyltransferase inhibitor,1
ketone,1
ketonic,1
anti complement,1
anti collagenic,1
anti autistic,1
lithogenic,1
anti asphyctic,1
low,1
anti TGF-beta,1
autonomic nervous system paralytic,1
mellow,1
anti NKC,1
membranolytic,1
memory enhancer,1
buttermilk,1
autonomic nervous system stimulant,1
autotoxic,1
anti HIV-integrase,1
anti CVS,1
anti CVI,1
anti CFS,1
anti C-reactive-protein,1
metastatic,1
methionine aminopeptidase 2 inhibitor,1
methyl-guanidine inhibitor,1
anti Addisonian,1
anti AIDS,1
microtubule-destabilising agent,1
microtubule-stabilising agent,1
microvasculokinetic,1
mignonette,1
mild cooling,1
mildew,1
milk,1
antagonist,1
mineral-corticoid,1
antacid,1
anti TMJ,1
ataxigenic,1
anti acrocyanotic,1
anti amblyopic,1
anti arrythmic,1
anti arabiflavinotic,1
anti apneic,1
anti aphthic,1
lyase inhibitor,1
mTOR inhibitor,1
macronutrient,1
anti amnesic,1
mahogany,1
anti amebic,1
maltase-promoter,1
ataractic,1
mammalian metabolite,1
maple syrup,1
meatbroth,1
marigold,1
marine,1
mastogenic,1
anti alkalotic,1
matches,1
anti akathisic,1
anti adhesive,1
anti adenoviral,1
anti adenomic,1
anti adenoma carcinogenic,1
anti acromegalic,1
anti acrodynic,1
meat broth,1
neuroexcitant,1
