drugbank_id,ATC,Name,Description,Indication,SMILES,blocks
DB00373,C07DA06,"timolol, thiazides and other diuretics","Timolol is a nonselective beta-adrenergic antagonist given in an eye drop solution to reduce intraocular pressure, or pressure in the eyes.[L6724] It is also used in tablet form as a drug to treat hypertension.[L6727] Timolol was first approved by the FDA in 1978.[L6724] This drug is marketed by several manufacturers [L6736] and is an effective agent for the management of conditions such as open-angle glaucoma and hypertension."," Ophthalmic timolol is indicated for the treatment of increased intraocular pressure in patients with ocular hypertension or open-angle glaucoma. The oral form of this drug is used to treat high blood pressure.[L6724,L6727] In certain cases, timolol is used in the prevention of migraine headaches.[A179530,L6742] ",[H][C@](O)(CNC(C)(C)C)COC1=NSN=C1N1CCOCC1,['[3*]OC[C@@H](O)CNC(C)(C)C^[3*]c1nsnc1N1CCOCC1']
DB00335,C07DB01,"atenolol, thiazides and other diuretics","Atenolol is a cardioselective beta-blocker used in a variety of cardiovascular conditions. 

Sir James Black, a scottish pharmacologist, pioneered the use of beta-blockers for the management of angina pectoris in 1958 for which he received the Nobel Prize.[A178429] Beta-blockers quickly became popular in clinical use and where subsequently investigated for use in myocardial infarction, arrhythmias, and hypertension during the 1960s. Later they continued to be investigated for use in heart failure throughout the 1970-1980s. Atenolol itself was developed early on in this history by Alvogen Malta under the trade name Tenormin and received FDA approval in September, 1981.[label]","**Indicated** for:[label]

1) Management of hypertension alone and in combination with other antihypertensives.

2) Management of angina pectoris associated with coronary atherosclerosis.

3) Management of acute myocardial infarction in hemodynamically stable patients with a heart rate greater than 50 beats per minutes and a systolic blood pressure above 100 mmHg.

**Off-label** uses include:

1) Secondary prevention of myocardial infarction.[A178156]

2) Management of heart failure.[A178153]

3) Management of atrial fibrillation.[A178141]

4) Management of supraventricular tachycardia.[A178162]

5) Management of ventricular arrythmias such as congenital long-QT and arrhythmogenic right ventricular cardiomyopathy.[A178168]

6) Management of symptomatic thyrotoxicosis in combination with [methimazole].[A178147]

7) Prophylaxis of migraine headaches.[A178171]

8) Management of alcohol withdrawal.[A178174,A178177]",CC(C)NCC(O)COC1=CC=C(CC(N)=O)C=C1,['[3*]OCC(O)CNC(C)C^[3*]c1ccc(CC(N)=O)cc1']
DB01023,C07FB02,metoprolol and felodipine,"Felodipine is a long-acting 1,4-dihydropyridine calcium channel blocker (CCB)b. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, felodipine prevents calcium-dependent myocyte contraction and vasoconstriction. Felodipine is the most potent CCB in use and is unique in that it exhibits fluorescent activity. In addition to binding to L-type calcium channels, felodipine binds to a number of calcium-binding proteins, exhibits competitive antagonism of the mineralcorticoid receptor, inhibits the activity of calmodulin-dependent cyclic nucleotide phosphodiesterase, and blocks calcium influx through voltage-gated T-type calcium channels. Felodipine is used to treat mild to moderate essential hypertension.",For the treatment of mild to moderate essential hypertension. ,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC,['[3*]C1C(C(=O)OC)=C(C)NC(C)=C1C(=O)OCC^[3*]c1cccc(Cl)c1Cl']
DB01115,C07FB03,atenolol and nifedipine,"Nifedipine, or BAY a 1040, is a first generation dihydropyridine L-type calcium channel blocker, similar to [nicardipine].[A190210,A190273,A175390,L11383] Nifedipine was developed by Bayer and first described in the literature, along with other dihydropyridines, in 1972.[A175390,A190276] Since nifedipine's development, second and third generation dihydropyridines have been developed with slower onsets and longer durations of action.[A190273] The most popular of the third generation dihydropyridines is [amlodipine].[A190273]

Nifedipine was granted FDA approval on 31 December 1981.[L11383]","Nifedipine capsules are indicated to treat vasospastic angina and chronic stable angina.[L11383] Extended release tablets are indicated to treat vasospastic angina, chronic stable angina, and hypertension.[L11389,L1245]",COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC,['[3*]C1C(C(=O)OC)=C(C)NC(C)=C1C(=O)OC^[3*]c1ccccc1[N+](=O)[O-]']
DB00612,C07FB07,bisoprolol and amlodipine,"Bisoprolol is a cardioselective β1-adrenergic blocking agent used to treat high blood pressure.[A180472,L7219] It is considered a potent drug with a long-half life that can be used once daily to reduce the need for multiple doses of antihypertensive drugs.[A180472] Bisoprolol is generally well tolerated, likely due to its β1-adrenergic receptor selectivity and is a useful alternative to non-selective β-blocker drugs in the treatment of hypertension such as [Carvedilol] and [Labetalol]. It may be used alone or in combination with other drugs to manage hypertension[L7219] and can be useful in patients with chronic obstructive pulmonary disease (COPD) due to its receptor selectivity.[A180562]","Bisoprolol is indicated for the treatment of mild to moderate hypertension.[L7219] It may be used off-label to treat heart failure, atrial fibrillation, and angina pectoris.[A180460,A180463]",CC(C)NCC(O)COC1=CC=C(COCCOC(C)C)C=C1,['[3*]COCCOC(C)C^[2*]c1ccc([1*])cc1^[3*]OCC(O)CNC(C)C']
DB04861,C07FB12,nebivolol and amlodipine,"Nebivolol is a racemic mixture of 2 enantiomers where one is a beta adrenergic antagonist and the other acts as a cardiac stimulant without beta adrenergic activity.[A182579] Treatment with nebivolol leads to a greater decrease in systolic and diastolic blood pressure than [atenolol], [propranolol], or [pindolol].[A182579] Nebivolol and other beta blockers are generally not first line therapies as many patients are first treated with thiazide diuretics.[A182594]

Nebivolol was granted FDA approval on 17 December 2007.[L7985]","Nebivolol is indicated to treat hypertension.[A2762,A182579,L7985,L7988]",OC(CNCC(O)C1CCC2=C(O1)C=CC(F)=C2)C1CCC2=C(O1)C=CC(F)=C2,[]
DB00381,C07FB13,metoprolol and amlodipine,"Amlodipine, initially approved by the FDA in 1987, is a popular antihypertensive drug belonging to the group of drugs called _dihydropyridine calcium channel blockers_.  Due to their selectivity for the peripheral blood vessels, dihydropyridine calcium channel blockers are associated with a lower incidence of myocardial depression and cardiac conduction abnormalities than other calcium channel blockers [A175327].

Amlodipine is commonly used in the treatment of high blood pressure and angina. Amlodipine has antioxidant properties and an ability to enhance the production of nitric oxide (NO), an important vasodilator that decreases blood pressure [A175321].  The option for single daily dosing of amlodipine is an attractive feature of this drug [FDA label].","Amlodipine may be used alone or in combination with other antihypertensive and antianginal agents for the treatment of the following conditions [FDA label]:

• Hypertension 

• Coronary artery disease

• Chronic stable angina

• Vasospastic angina (Prinzmetal’s or Variant angina) 

• Angiographically documented coronary artery disease in patients without heart failure or an ejection fraction < 40%",CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,['[3*]COCCN^[2*]C1=C(C(=O)OCC)C([1*])C(C(=O)OC)=C(C)N1^[3*]c1ccccc1Cl']
DB00571,C07FX01,propranolol and other combinations,"Propranolol is a racemic mixture of 2 enantiomers where the S(-)-enantiomer has approximately 100 times the binding affinity for beta adrenergic receptors.[L6904] Propranolol is used to treat a number of conditions but most commonly is used for hypertension.[L6901,L6904,L6907] 

Propranolol was granted FDA approval on 13 November 1967.[L6904]","Propranolol is indicated to treat hypertension.[L6907,L6904] Propranolol is also indicated to treat angina pectoris due to coronary atherosclerosis, atrial fibrillation, myocardial infarction, migraine, essential tremor, hypertrophic subaortic stenosis, pheochromocytoma, and proliferating infantile hemangioma.[L6904,L6907]",CC(C)NCC(O)COC1=CC=CC2=C1C=CC=C2,['[3*]OCC(O)CNC(C)C^[3*]c1cccc2ccccc12']
DB00945,C07FX02,sotalol and acetylsalicylic acid,"Also known as _Aspirin_, acetylsalicylic acid (ASA) is a commonly used drug for the treatment of pain and fever due to various causes. Acetylsalicylic acid has both anti-inflammatory and antipyretic effects.  This drug also inhibits platelet aggregation and is used in the prevention of blood clots stroke, and myocardial infarction (MI) [FDA label].  

Interestingly, the results of various studies have demonstrated that long-term use of acetylsalicylic acid may decrease the risk of various cancers, including colorectal, esophageal, breast, lung, prostate, liver and skin cancer [A177325]. Aspirin is classified as a _non-selective cyclooxygenase (COX) inhibitor_ [A32682, A177268] and is available in many doses and forms, including chewable tablets, suppositories, extended release formulations, and others [L5968]. 

Acetylsalicylic acid is a very common cause of accidental poisoning in young children. It should be kept out of reach from young children, toddlers, and infants [FDA label].","**Pain, fever, and inflammation**

Acetylsalicylic acid (ASA), in the regular tablet form (immediate-release), is indicated to relieve pain, fever, and inflammation associated with many conditions, including the flu, the common cold, neck and back pain, dysmenorrhea, headache, tooth pain, sprains, fractures, myositis, neuralgia, synovitis, arthritis, bursitis, burns, and various injuries. It is also used for symptomatic pain relief after surgical and dental procedures [FDA label]. 

The _extra strength_ formulation of acetylsalicylic acid is also indicated for the management migraine pain with photophobia (sensitivity to light) and phonophobia (sensitivity to sound)[FDA label].

**Other indications**

ASA is also indicated for various other purposes, due to its ability to inhibit platelet aggregation. These include: 

Reducing the risk of cardiovascular death in suspected cases of myocardial infarction (MI) [FDA label]. 

Reducing the risk of a first non-fatal myocardial infarction in patients, and for reducing the risk of morbidity and mortality in cases of unstable angina and in those who have had a prior myocardial infarction [FDA label].

For reducing the risk of transient ischemic attacks (TIA) and to prevent atherothrombotic cerebral infarction (in conjunction with other treatments) [FDA label].

For the prevention of thromboembolism after hip replacement surgery [FDA label]. 

For decreasing platelet to platelet adhesion following carotid endarterectomy, aiding in the prevention of transient ischemic attacks (TIA) [FDA label].

Used for patients undergoing hemodialysis with a silicone rubber arteriovenous cannula inserted to prevent thrombosis at the insertion site [FDA Label]. 

**Important note regarding use of the extended-release formulation [F4405]**

In the setting of acute myocardial infarction, or before percutaneous interventions, the extended-release form of acetylsalicylic acid should not be used. Use immediate-release formulations in scenarios requiring rapid onset of action [Label, F4405]. The extended-release form is taken to decrease the incidence of mortality and myocardial infarction (MI) for individuals diagnosed with chronic coronary artery disease (CAD), including patients with previous myocardial infarction (MI) or unstable angina or with chronic stable angina. Additionally, the extended-release form is used to decrease the risk of death and recurrent episodes of stroke in patients with a history of stroke or TIA [F4405].


 ",CC(=O)OC1=CC=CC=C1C(O)=O,[]
DB00945,C07FX03,metoprolol and acetylsalicylic acid,"Also known as _Aspirin_, acetylsalicylic acid (ASA) is a commonly used drug for the treatment of pain and fever due to various causes. Acetylsalicylic acid has both anti-inflammatory and antipyretic effects.  This drug also inhibits platelet aggregation and is used in the prevention of blood clots stroke, and myocardial infarction (MI) [FDA label].  

Interestingly, the results of various studies have demonstrated that long-term use of acetylsalicylic acid may decrease the risk of various cancers, including colorectal, esophageal, breast, lung, prostate, liver and skin cancer [A177325]. Aspirin is classified as a _non-selective cyclooxygenase (COX) inhibitor_ [A32682, A177268] and is available in many doses and forms, including chewable tablets, suppositories, extended release formulations, and others [L5968]. 

Acetylsalicylic acid is a very common cause of accidental poisoning in young children. It should be kept out of reach from young children, toddlers, and infants [FDA label].","**Pain, fever, and inflammation**

Acetylsalicylic acid (ASA), in the regular tablet form (immediate-release), is indicated to relieve pain, fever, and inflammation associated with many conditions, including the flu, the common cold, neck and back pain, dysmenorrhea, headache, tooth pain, sprains, fractures, myositis, neuralgia, synovitis, arthritis, bursitis, burns, and various injuries. It is also used for symptomatic pain relief after surgical and dental procedures [FDA label]. 

The _extra strength_ formulation of acetylsalicylic acid is also indicated for the management migraine pain with photophobia (sensitivity to light) and phonophobia (sensitivity to sound)[FDA label].

**Other indications**

ASA is also indicated for various other purposes, due to its ability to inhibit platelet aggregation. These include: 

Reducing the risk of cardiovascular death in suspected cases of myocardial infarction (MI) [FDA label]. 

Reducing the risk of a first non-fatal myocardial infarction in patients, and for reducing the risk of morbidity and mortality in cases of unstable angina and in those who have had a prior myocardial infarction [FDA label].

For reducing the risk of transient ischemic attacks (TIA) and to prevent atherothrombotic cerebral infarction (in conjunction with other treatments) [FDA label].

For the prevention of thromboembolism after hip replacement surgery [FDA label]. 

For decreasing platelet to platelet adhesion following carotid endarterectomy, aiding in the prevention of transient ischemic attacks (TIA) [FDA label].

Used for patients undergoing hemodialysis with a silicone rubber arteriovenous cannula inserted to prevent thrombosis at the insertion site [FDA Label]. 

**Important note regarding use of the extended-release formulation [F4405]**

In the setting of acute myocardial infarction, or before percutaneous interventions, the extended-release form of acetylsalicylic acid should not be used. Use immediate-release formulations in scenarios requiring rapid onset of action [Label, F4405]. The extended-release form is taken to decrease the incidence of mortality and myocardial infarction (MI) for individuals diagnosed with chronic coronary artery disease (CAD), including patients with previous myocardial infarction (MI) or unstable angina or with chronic stable angina. Additionally, the extended-release form is used to decrease the risk of death and recurrent episodes of stroke in patients with a history of stroke or TIA [F4405].


 ",CC(=O)OC1=CC=CC=C1C(O)=O,[]
DB00945,C07FX04,bisoprolol and acetylsalicylic acid,"Also known as _Aspirin_, acetylsalicylic acid (ASA) is a commonly used drug for the treatment of pain and fever due to various causes. Acetylsalicylic acid has both anti-inflammatory and antipyretic effects.  This drug also inhibits platelet aggregation and is used in the prevention of blood clots stroke, and myocardial infarction (MI) [FDA label].  

Interestingly, the results of various studies have demonstrated that long-term use of acetylsalicylic acid may decrease the risk of various cancers, including colorectal, esophageal, breast, lung, prostate, liver and skin cancer [A177325]. Aspirin is classified as a _non-selective cyclooxygenase (COX) inhibitor_ [A32682, A177268] and is available in many doses and forms, including chewable tablets, suppositories, extended release formulations, and others [L5968]. 

Acetylsalicylic acid is a very common cause of accidental poisoning in young children. It should be kept out of reach from young children, toddlers, and infants [FDA label].","**Pain, fever, and inflammation**

Acetylsalicylic acid (ASA), in the regular tablet form (immediate-release), is indicated to relieve pain, fever, and inflammation associated with many conditions, including the flu, the common cold, neck and back pain, dysmenorrhea, headache, tooth pain, sprains, fractures, myositis, neuralgia, synovitis, arthritis, bursitis, burns, and various injuries. It is also used for symptomatic pain relief after surgical and dental procedures [FDA label]. 

The _extra strength_ formulation of acetylsalicylic acid is also indicated for the management migraine pain with photophobia (sensitivity to light) and phonophobia (sensitivity to sound)[FDA label].

**Other indications**

ASA is also indicated for various other purposes, due to its ability to inhibit platelet aggregation. These include: 

Reducing the risk of cardiovascular death in suspected cases of myocardial infarction (MI) [FDA label]. 

Reducing the risk of a first non-fatal myocardial infarction in patients, and for reducing the risk of morbidity and mortality in cases of unstable angina and in those who have had a prior myocardial infarction [FDA label].

For reducing the risk of transient ischemic attacks (TIA) and to prevent atherothrombotic cerebral infarction (in conjunction with other treatments) [FDA label].

For the prevention of thromboembolism after hip replacement surgery [FDA label]. 

For decreasing platelet to platelet adhesion following carotid endarterectomy, aiding in the prevention of transient ischemic attacks (TIA) [FDA label].

Used for patients undergoing hemodialysis with a silicone rubber arteriovenous cannula inserted to prevent thrombosis at the insertion site [FDA Label]. 

**Important note regarding use of the extended-release formulation [F4405]**

In the setting of acute myocardial infarction, or before percutaneous interventions, the extended-release form of acetylsalicylic acid should not be used. Use immediate-release formulations in scenarios requiring rapid onset of action [Label, F4405]. The extended-release form is taken to decrease the incidence of mortality and myocardial infarction (MI) for individuals diagnosed with chronic coronary artery disease (CAD), including patients with previous myocardial infarction (MI) or unstable angina or with chronic stable angina. Additionally, the extended-release form is used to decrease the risk of death and recurrent episodes of stroke in patients with a history of stroke or TIA [F4405].


 ",CC(=O)OC1=CC=CC=C1C(O)=O,[]
DB09083,C07FX05,metoprolol and ivabradine,"Ivabradine is a novel heart rate lowering medicine for the symptomatic management of stable angina pectoralis and symptomatic chronic heart failure.  Ivabradine, brand name Corlanor, was approved by the FDA in April 2015 for the treatment of chronic heart failure in patients with an ejection fraction of ≤35%, in sinus rhythm with resting heart rate ≥70 beats per minute, who are not on beta-blockers due to contraindications or already receiving maximum beta-blocker dose. Recently a new indication was added to treat symptomatic heart failure from dilated cardiomyopathy for patients 6 months or more in age[Label]. Ivabradine acts by selectively inhibiting the ""funny"" channel pacemaker current (If) in the sinoatrial node in a dose-dependent fashion, resulting in a lower heart rate and thus more blood to flow to the myocardium. Although non-dihydropyridine calcium channel blockers and beta blockers also effectively lower heart rate, they exhibit adverse events due to their negative ionotropic effects. Therefore, as ivabradine is designed as a ""pure"" heart rate-lowering drug by selectively acting on the If channels, it may offer a more favorable side effect profile due to its lower likelihood of causing serious adverse effects.","Ivabradine is indicated by the FDA to reduce the risk of hospitalization for worsening heart failure in adult patients with stable, symptomatic chronic heart failure with left ventricular ejection fraction ≤35%, who are in sinus rhythm with resting heart rate ≥70 beats per minute and either are on maximally tolerated doses of beta-blockers or have a contraindication to beta-blocker use. It is also indicated for treatment of stable symptomatic heart failure as a result of dilated cardiomyopathy for pediatric patients 6 months of age or more[FDA Label].",COC1=C(OC)C=C2[C@@H](CN(C)CCCN3CCC4=CC(OC)=C(OC)C=C4CC3=O)CC2=C1,[]
DB09083,C07FX06,carvedilol and ivabradine,"Ivabradine is a novel heart rate lowering medicine for the symptomatic management of stable angina pectoralis and symptomatic chronic heart failure.  Ivabradine, brand name Corlanor, was approved by the FDA in April 2015 for the treatment of chronic heart failure in patients with an ejection fraction of ≤35%, in sinus rhythm with resting heart rate ≥70 beats per minute, who are not on beta-blockers due to contraindications or already receiving maximum beta-blocker dose. Recently a new indication was added to treat symptomatic heart failure from dilated cardiomyopathy for patients 6 months or more in age[Label]. Ivabradine acts by selectively inhibiting the ""funny"" channel pacemaker current (If) in the sinoatrial node in a dose-dependent fashion, resulting in a lower heart rate and thus more blood to flow to the myocardium. Although non-dihydropyridine calcium channel blockers and beta blockers also effectively lower heart rate, they exhibit adverse events due to their negative ionotropic effects. Therefore, as ivabradine is designed as a ""pure"" heart rate-lowering drug by selectively acting on the If channels, it may offer a more favorable side effect profile due to its lower likelihood of causing serious adverse effects.","Ivabradine is indicated by the FDA to reduce the risk of hospitalization for worsening heart failure in adult patients with stable, symptomatic chronic heart failure with left ventricular ejection fraction ≤35%, who are in sinus rhythm with resting heart rate ≥70 beats per minute and either are on maximally tolerated doses of beta-blockers or have a contraindication to beta-blocker use. It is also indicated for treatment of stable symptomatic heart failure as a result of dilated cardiomyopathy for pediatric patients 6 months of age or more[FDA Label].",COC1=C(OC)C=C2[C@@H](CN(C)CCCN3CCC4=CC(OC)=C(OC)C=C4CC3=O)CC2=C1,[]
DB00381,C08CA01,amlodipine,"Amlodipine, initially approved by the FDA in 1987, is a popular antihypertensive drug belonging to the group of drugs called _dihydropyridine calcium channel blockers_.  Due to their selectivity for the peripheral blood vessels, dihydropyridine calcium channel blockers are associated with a lower incidence of myocardial depression and cardiac conduction abnormalities than other calcium channel blockers [A175327].

Amlodipine is commonly used in the treatment of high blood pressure and angina. Amlodipine has antioxidant properties and an ability to enhance the production of nitric oxide (NO), an important vasodilator that decreases blood pressure [A175321].  The option for single daily dosing of amlodipine is an attractive feature of this drug [FDA label].","Amlodipine may be used alone or in combination with other antihypertensive and antianginal agents for the treatment of the following conditions [FDA label]:

• Hypertension 

• Coronary artery disease

• Chronic stable angina

• Vasospastic angina (Prinzmetal’s or Variant angina) 

• Angiographically documented coronary artery disease in patients without heart failure or an ejection fraction < 40%",CCOC(=O)C1=C(COCCN)NC(C)=C(C1C1=CC=CC=C1Cl)C(=O)OC,['[3*]COCCN^[2*]C1=C(C(=O)OCC)C([1*])C(C(=O)OC)=C(C)N1^[3*]c1ccccc1Cl']
DB01023,C08CA02,felodipine,"Felodipine is a long-acting 1,4-dihydropyridine calcium channel blocker (CCB)b. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, felodipine prevents calcium-dependent myocyte contraction and vasoconstriction. Felodipine is the most potent CCB in use and is unique in that it exhibits fluorescent activity. In addition to binding to L-type calcium channels, felodipine binds to a number of calcium-binding proteins, exhibits competitive antagonism of the mineralcorticoid receptor, inhibits the activity of calmodulin-dependent cyclic nucleotide phosphodiesterase, and blocks calcium influx through voltage-gated T-type calcium channels. Felodipine is used to treat mild to moderate essential hypertension.",For the treatment of mild to moderate essential hypertension. ,CCOC(=O)C1=C(C)NC(C)=C(C1C1=C(Cl)C(Cl)=CC=C1)C(=O)OC,['[3*]C1C(C(=O)OC)=C(C)NC(C)=C1C(=O)OCC^[3*]c1cccc(Cl)c1Cl']
DB00270,C08CA03,isradipine,"Isradipine belongs to the dihydropyridine (DHP) class of calcium channel blockers (CCBs), the most widely used class of CCBs. It is structurally related to felodipine, nifedipine, and nimodipine and is the most potent calcium-channel blocking agent of the DHP class. Isradipine binds to calcium channels with high affinity and specificity and inhibits calcium flux into cardiac and arterial smooth muscle cells. It exhibits greater selectivity towards arterial smooth muscle cells owing to alternative splicing of the alpha-1 subunit of the channel and increased prevalence of inactive channels in smooth muscle cells. Isradipine may be used to treat mild to moderate essential hypertension.",For the management of mild to moderate essential hypertension. It may be used alone or concurrently with thiazide-type diuretics.,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC2=NON=C12)C(=O)OC(C)C,['[3*]C1C(C(=O)OC)=C(C)NC(C)=C1C(=O)OC(C)C^[3*]c1cccc2nonc12']
DB00622,C08CA04,nicardipine,A potent calcium channel blockader with marked vasodilator action. It has antihypertensive properties and is effective in the treatment of angina and coronary spasms without showing cardiodepressant effects. It has also been used in the treatment of asthma and enhances the action of specific antineoplastic agents. [PubChem],Used for the management of patients with chronic stable angina and for the treatment of hypertension.,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,['[3*]c1cccc([N+](=O)[O-])c1^[1*]C(=O)C1=C(C)NC(C)=C(C(=O)OC)C1[2*]^[2*]OCCN(C)C[1*]^[3*]c1ccccc1']
DB01115,C08CA05,nifedipine,"Nifedipine, or BAY a 1040, is a first generation dihydropyridine L-type calcium channel blocker, similar to [nicardipine].[A190210,A190273,A175390,L11383] Nifedipine was developed by Bayer and first described in the literature, along with other dihydropyridines, in 1972.[A175390,A190276] Since nifedipine's development, second and third generation dihydropyridines have been developed with slower onsets and longer durations of action.[A190273] The most popular of the third generation dihydropyridines is [amlodipine].[A190273]

Nifedipine was granted FDA approval on 31 December 1981.[L11383]","Nifedipine capsules are indicated to treat vasospastic angina and chronic stable angina.[L11383] Extended release tablets are indicated to treat vasospastic angina, chronic stable angina, and hypertension.[L11389,L1245]",COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OC,['[3*]C1C(C(=O)OC)=C(C)NC(C)=C1C(=O)OC^[3*]c1ccccc1[N+](=O)[O-]']
DB00393,C08CA06,nimodipine,"Nimodipine is a 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, nimodipine prevents calcium-dependent smooth muscle contraction and subsequent vasoconstriction. Compared to other calcium channel blocking agents, nimodipine exhibits greater effects on cerebral circulation than on peripheral circulation. Nimodipine is used to as an adjunct to improve the neurologic outcome following subarachnoid hemorrhage from ruptured intracranial aneurysm.",For use as an adjunct to improve neurologic outcome following subarachnoid hemorrhage (SAH) from ruptured intracranial berry aneurysms by reducing the incidence and severity of ischemic deficits.,COCCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C,['[3*]OCCOC^[2*]C(=O)C1=C(C)NC(C)=C(C(=O)OC(C)C)C1[1*]^[3*]c1cccc([N+](=O)[O-])c1']
DB00401,C08CA07,nisoldipine,"Nisoldipine is a 1,4-dihydropyridine calcium channel blocker. It acts primarily on vascular smooth muscle cells by stabilizing voltage-gated L-type calcium channels in their inactive conformation. By inhibiting the influx of calcium in smooth muscle cells, nisoldipine prevents calcium-dependent smooth muscle contraction and subsequent vasoconstriction. Nisoldipine may be used in alone or in combination with other agents in the management of hypertension.",For the treatment of hypertension. It may be used alone or in combination with other antihypertensive agents.,COC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1[N+]([O-])=O)C(=O)OCC(C)C,['[3*]OCC(C)C^[2*]C(=O)C1=C(C)NC(C)=C(C(=O)OC)C1[1*]^[3*]c1ccccc1[N+](=O)[O-]']
DB01054,C08CA08,nitrendipine,"Nitrendipine is a calcium channel blocker with marked vasodilator action. It is an effective antihypertensive agent and differs from other calcium channel blockers in that it does not reduce glomerular filtration rate and is mildly natriuretic, rather than sodium retentive.",For the treatment of mild to moderate hypertension,CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC,['[3*]C1C(C(=O)OC)=C(C)NC(C)=C1C(=O)OCC^[3*]c1cccc([N+](=O)[O-])c1']
DB09236,C08CA09,lacidipine,"Lacidipine is a lipophilic dihydropyridine calcium antagonist with an intrinsically slow onset of activity. Due to its long duration of action, lacidipine does not lead to reflex tachycardia [A31536]. It displays specificity in the vascular smooth muscle, where it acts as an antihypertensive agent to dilate peripheral arterioles and reduce blood pressure. Compared to other dihydropyridine calcium antagonists, lacidipine exhibits a greater antioxidant activity which may confer potentially beneficial antiatherosclerotic effects [A31540]. Lacidipine is a highly lipophilic molecule that interacts with the biological membranes. Through radiotracer analysis, it was determined that lacidipine displays a high membrane partition coefficient leading to accumulation of the drug in the membrane and slow rate of membrane washout [A31539]. When visualized by small-angle X-ray diffraction with angstrom resolution to examine its location within the membranes, lacidipine was found deep within the membrane's hydrocarbon core [A31539]. These results may explain the long clinical half-life of lacidipine [A31539]. 

In randomised, well-controlled trials, administration of daily single-dose lacidipine ranging from 2-6 mg demonstrated comparable antihypertensive efficacy similar to that of other long-acting dihydropyridine calcium antagonists, thiazide diuretics, atenolol (a beta-blocker) and enalapril (an ACE inhibitor) [A31536]. It is available as once-daily oral tablets containing 2 or 4 mg of the active compound commonly marketed as Lacipil or Motens. It is not currently FDA-approved.","Indicated for the treatment of hypertension either alone or in combination with other antihypertensive agents, including β-adrenoceptor antagonists, diuretics, and ACE-inhibitors [L1126].",CCOC(=O)C1=C(C)NC(C)=C(C1C1=CC=CC=C1\C=C\C(=O)OC(C)(C)C)C(=O)OCC,['[3*]OC(C)(C)C^[2*]C(=O)/C=C/c1ccccc1[1*]^[3*]C1C(C(=O)OCC)=C(C)NC(C)=C1C(=O)OCC']
DB06712,C08CA10,nilvadipine,Nilvadipine is a calcium channel blocker (CCB) for treatment of hypertension.,"For the management of vasospastic angina, chronic stable angina and hypertension.",COC(=O)C1=C(NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)C)C#N,['[3*]C1C(C(=O)OC(C)C)=C(C)NC(C#N)=C1C(=O)OC^[3*]c1cccc([N+](=O)[O-])c1']
DB09238,C08CA11,manidipine,Manidipine (INN) is a calcium channel blocker (dihydropyridine type) that is used clinically as an antihypertensive. It is selective for vasculature and does not produce effects on the heart at clinically relevant dosages.,For the treatment of hypertension.,COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)N(=O)=O)C(=O)OCCN1CCN(CC1)C(C1=CC=CC=C1)C1=CC=CC=C1,['[3*]c1cccc([N+](=O)[O-])c1^[1*]C(=O)C1=C(C)NC(C)=C(C(=O)OC)C1[2*]^[2*]OCCN1CCN(C([1*])c2ccccc2)CC1^[3*]c1ccccc1']
DB00528,C08CA13,lercanidipine,Lercanidipine is a calcium channel blocker of the dihydropyridine class. It is sold under various commercial names including Zanidip.,"For the treatment of Hypertension, management of angina pectoris and Raynaud's syndrome",COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OC(C)(C)CN(C)CCC(C1=CC=CC=C1)C1=CC=CC=C1,['[3*]c1cccc([N+](=O)[O-])c1^[1*]C(=O)C1=C(C)NC(C)=C(C(=O)OC)C1[2*]^[2*]OC(C)(C)CN(C)CCC([1*])c1ccccc1^[3*]c1ccccc1']
